title,description,published_at,source,industry,text,finbert_sentiment,finbert_score,vader_sentiment,vader_score,resolved_sentiment,numeric_sentiment
Westport Reports Fourth Quarter and Full Year 2024 Results,"Improvement in key metrics drove net cash provided by operating activities of $7.2 million, which is a $20.4 million improvement over 2023 VANCOUVER, British Columbia, March 31, 2025 (GLOBE NEWSWIRE) — Westport Fuel Systems Inc. (“Westport”) (TSX: WPRT / Nasd…",2025-03-31T10:10:09Z,Financial Post,infrastructure,"Westport Reports Fourth Quarter and Full Year 2024 Results. Improvement in key metrics drove net cash provided by operating activities of $7.2 million, which is a $20.4 million improvement over 2023 VANCOUVER, British Columbia, March 31, 2025 (GLOBE NEWSWIRE) — Westport Fuel Systems Inc. (“Westport”) (TSX: WPRT / Nasd…",positive,0.9484409093856812,positive,0.7184,positive,1
Westport Reports Fourth Quarter and Full Year 2024 Results,"Improvement in key metrics drove net cash provided by operating activities of $7.2 million, which is a $20.4 million improvement over 2023 Improvement in key metrics drove net cash provided by operating activities of $7.2 million, which is a $20.4 million imp…",2025-03-31T10:05:00Z,GlobeNewswire,infrastructure,"Westport Reports Fourth Quarter and Full Year 2024 Results. Improvement in key metrics drove net cash provided by operating activities of $7.2 million, which is a $20.4 million improvement over 2023 Improvement in key metrics drove net cash provided by operating activities of $7.2 million, which is a $20.4 million imp…",positive,0.950934648513794,positive,0.8402,positive,1
Economic Digest: Nepal’s Business News in a Snap,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s economy shows mixed signals as it enters the new year 2082: the stock market surged with incr…",2025-04-16T02:15:51Z,Khabarhub.com,infrastructure,"Economic Digest: Nepal’s Business News in a Snap. KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s economy shows mixed signals as it enters the new year 2082: the stock market surged with incr…",negative,0.7819499969482422,positive,0.6369,neutral,0
What to Expect From IDEX’s Next Quarterly Earnings Report,,2025-04-08T09:36:38Z,Biztoc.com,it,What to Expect From IDEX’s Next Quarterly Earnings Report. ,neutral,0.9188451766967772,neutral,0.0,neutral,0
Ahead of Market: 10 things that will decide stock market action on Wednesday,"Indian markets closed slightly higher on Tuesday, trimming early gains. IT stocks gained on positive global cues, while profit booking hit small and mid-caps. Investors await clarity on trade policy and upcoming quarterly earnings for further market direction.",2025-03-25T15:40:35Z,The Times of India,it,"Ahead of Market: 10 things that will decide stock market action on Wednesday. Indian markets closed slightly higher on Tuesday, trimming early gains. IT stocks gained on positive global cues, while profit booking hit small and mid-caps. Investors await clarity on trade policy and upcoming quarterly earnings for further market direction.",positive,0.8229710459709167,positive,0.9274,positive,1
Accenture becomes first IT services company to call out macro uncertainty,"Accenture’s dim outlook stokes further uncertainty for India’s five largest software service providers including Tata Consultancy Services, Infosys, HCL Technologies, Wipro, and Tech Mahindra, which are expected to announce their FY25 earnings next month",2025-03-20T16:26:56Z,Livemint,it,"Accenture becomes first IT services company to call out macro uncertainty. Accenture’s dim outlook stokes further uncertainty for India’s five largest software service providers including Tata Consultancy Services, Infosys, HCL Technologies, Wipro, and Tech Mahindra, which are expected to announce their FY25 earnings next month",negative,0.9623440504074096,negative,-0.5859,negative,-1
"129,261 Shares in Genpact Limited (NYSE:G) Bought by Raymond James Financial Inc.","Raymond James Financial Inc. purchased a new stake in Genpact Limited (NYSE:G – Free Report) during the 4th quarter, Holdings Channel.com reports. The fund purchased 129,261 shares of the business services provider’s stock, valued at approximately $5,552,000.…",2025-03-25T07:23:01Z,ETF Daily News,it,"129,261 Shares in Genpact Limited (NYSE:G) Bought by Raymond James Financial Inc.. Raymond James Financial Inc. purchased a new stake in Genpact Limited (NYSE:G – Free Report) during the 4th quarter, Holdings Channel.com reports. The fund purchased 129,261 shares of the business services provider’s stock, valued at approximately $5,552,000.…",neutral,0.9409388303756714,positive,0.7783,positive,1
Genpact Limited (NYSE:G) Receives Average Recommendation of “Hold” from Analysts,"Genpact Limited (NYSE:G – Get Free Report) has earned a consensus recommendation of “Hold” from the nine analysts that are covering the company, Marketbeat Ratings reports. Six investment analysts have rated the stock with a hold recommendation and three have…",2025-03-23T06:36:52Z,ETF Daily News,it,"Genpact Limited (NYSE:G) Receives Average Recommendation of “Hold” from Analysts. Genpact Limited (NYSE:G – Get Free Report) has earned a consensus recommendation of “Hold” from the nine analysts that are covering the company, Marketbeat Ratings reports. Six investment analysts have rated the stock with a hold recommendation and three have…",positive,0.8303497433662415,positive,0.128,positive,1
Genpact Limited (NYSE:G) Shares Sold by Envestnet Portfolio Solutions Inc.,"Envestnet Portfolio Solutions Inc. trimmed its stake in shares of Genpact Limited (NYSE:G – Free Report) by 6.3% during the 4th quarter, Holdings Channel reports. The fund owned 6,506 shares of the business services provider’s stock after selling 441 shares d…",2025-03-28T08:06:47Z,ETF Daily News,it,"Genpact Limited (NYSE:G) Shares Sold by Envestnet Portfolio Solutions Inc.. Envestnet Portfolio Solutions Inc. trimmed its stake in shares of Genpact Limited (NYSE:G – Free Report) by 6.3% during the 4th quarter, Holdings Channel reports. The fund owned 6,506 shares of the business services provider’s stock after selling 441 shares d…",neutral,0.6789808869361877,positive,0.8658,positive,1
Norges Bank Takes Position in Genpact Limited (NYSE:G),"Norges Bank bought a new stake in Genpact Limited (NYSE:G – Free Report) in the 4th quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The institutional investor bought 2,107,481 shares of the business services provide…",2025-04-03T08:36:54Z,ETF Daily News,it,"Norges Bank Takes Position in Genpact Limited (NYSE:G). Norges Bank bought a new stake in Genpact Limited (NYSE:G – Free Report) in the 4th quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The institutional investor bought 2,107,481 shares of the business services provide…",neutral,0.904576539993286,positive,0.5994,positive,1
Federated Hermes Inc. Boosts Position in Genpact Limited (NYSE:G),"Federated Hermes Inc. increased its holdings in Genpact Limited (NYSE:G – Free Report) by 17.5% in the fourth quarter, according to its most recent Form 13F filing with the Securities & Exchange Commission. The firm owned 15,142 shares of the business service…",2025-04-17T08:16:57Z,ETF Daily News,it,"Federated Hermes Inc. Boosts Position in Genpact Limited (NYSE:G). Federated Hermes Inc. increased its holdings in Genpact Limited (NYSE:G – Free Report) by 17.5% in the fourth quarter, according to its most recent Form 13F filing with the Securities & Exchange Commission. The firm owned 15,142 shares of the business service…",positive,0.950139820575714,positive,0.8074,positive,1
"Avantax Advisory Services Inc. Sells 2,466 Shares of Genpact Limited (NYSE:G)","Avantax Advisory Services Inc. trimmed its stake in shares of Genpact Limited (NYSE:G – Free Report) by 11.3% in the fourth quarter, HoldingsChannel.com reports. The fund owned 19,325 shares of the business services provider’s stock after selling 2,466 shares…",2025-03-21T08:46:52Z,ETF Daily News,it,"Avantax Advisory Services Inc. Sells 2,466 Shares of Genpact Limited (NYSE:G). Avantax Advisory Services Inc. trimmed its stake in shares of Genpact Limited (NYSE:G – Free Report) by 11.3% in the fourth quarter, HoldingsChannel.com reports. The fund owned 19,325 shares of the business services provider’s stock after selling 2,466 shares…",neutral,0.3968029618263244,positive,0.7269,positive,1
Sei Investments Co. Boosts Stock Position in Genpact Limited (NYSE:G),"Sei Investments Co. increased its stake in shares of Genpact Limited (NYSE:G – Free Report) by 17.9% during the fourth quarter, according to the company in its most recent disclosure with the SEC. The institutional investor owned 163,784 shares of the busines…",2025-04-01T07:42:49Z,ETF Daily News,it,"Sei Investments Co. Boosts Stock Position in Genpact Limited (NYSE:G). Sei Investments Co. increased its stake in shares of Genpact Limited (NYSE:G – Free Report) by 17.9% during the fourth quarter, according to the company in its most recent disclosure with the SEC. The institutional investor owned 163,784 shares of the busines…",positive,0.9503101110458374,positive,0.8074,positive,1
"US-China tariff war developments, earnings to drive markets in holiday-shortened week: Analysts","Global market trends, US-China tariff war, corporate earnings, and economic data to drive market movement this week.",2025-04-13T05:00:43Z,BusinessLine,it,"US-China tariff war developments, earnings to drive markets in holiday-shortened week: Analysts. Global market trends, US-China tariff war, corporate earnings, and economic data to drive market movement this week.",neutral,0.8971996903419495,negative,-0.8316,negative,-1
"Asia Pacific Mining Equipment Market Outlook to 2030: Growth in Electric and Hybrid Mining Equipment, Integration of Digital Technologies and Smart Mining Solutions","Dublin, April 01, 2025 (GLOBE NEWSWIRE) -- The ""Asia Pacific Mining Equipment Market Outlook, 2030"" report has been added to ResearchAndMarkets.com's offering.The Asia Pacific mining equipment market is poised for robust growth, projected to exceed a 6.58% CA…",2025-04-01T11:37:00Z,GlobeNewswire,metals,"Asia Pacific Mining Equipment Market Outlook to 2030: Growth in Electric and Hybrid Mining Equipment, Integration of Digital Technologies and Smart Mining Solutions. Dublin, April 01, 2025 (GLOBE NEWSWIRE) -- The ""Asia Pacific Mining Equipment Market Outlook, 2030"" report has been added to ResearchAndMarkets.com's offering.The Asia Pacific mining equipment market is poised for robust growth, projected to exceed a 6.58% CA…",positive,0.9322311282157898,positive,0.9001,positive,1
"Share Market Highlights: Sensex, Nifty rally nearly 2% as US pauses tariffs; metal stocks shine","Sensex, Nifty updates on 11 April 2025: Indian benchmark indices, Sensex and Nifty, surged nearly 2% to end in the green after the U.S. paused steep reciprocal tariffs. However, gains were limited by ongoing U.S.-China trade tensions. On the BSE, out of 4,079…",2025-04-11T01:17:53Z,BusinessLine,metals,"Share Market Highlights: Sensex, Nifty rally nearly 2% as US pauses tariffs; metal stocks shine. Sensex, Nifty updates on 11 April 2025: Indian benchmark indices, Sensex and Nifty, surged nearly 2% to end in the green after the U.S. paused steep reciprocal tariffs. However, gains were limited by ongoing U.S.-China trade tensions. On the BSE, out of 4,079…",positive,0.5842714905738831,positive,0.7964,positive,1
BOTOX Market Projected to Reach USD 13.74 Billion by 2032 Amidst Rising Demand for Aesthetic and Therapeutic Applications,"According to Research by SNS Insider, The Global BOTOX Market Poised Significant Growth, Driven by Increased Consumer Interest in Non-Surgical Cosmetic Procedures and Expanding Therapeutic Uses. According to Research by SNS Insider, The Global BOTOX Market Po…",2025-03-24T13:45:00Z,GlobeNewswire,pharma,"BOTOX Market Projected to Reach USD 13.74 Billion by 2032 Amidst Rising Demand for Aesthetic and Therapeutic Applications. According to Research by SNS Insider, The Global BOTOX Market Poised Significant Growth, Driven by Increased Consumer Interest in Non-Surgical Cosmetic Procedures and Expanding Therapeutic Uses. According to Research by SNS Insider, The Global BOTOX Market Po…",positive,0.9475910067558287,positive,0.8442,positive,1
Ahead of Market: 10 things that will decide stock market action on Wednesday,"Indian markets closed slightly higher on Tuesday, trimming early gains. IT stocks gained on positive global cues, while profit booking hit small and mid-caps. Investors await clarity on trade policy and upcoming quarterly earnings for further market direction.",2025-03-25T15:40:35Z,The Times of India,pharma,"Ahead of Market: 10 things that will decide stock market action on Wednesday. Indian markets closed slightly higher on Tuesday, trimming early gains. IT stocks gained on positive global cues, while profit booking hit small and mid-caps. Investors await clarity on trade policy and upcoming quarterly earnings for further market direction.",positive,0.8229710459709167,positive,0.9274,positive,1
"Stock Market Highlights 4 April 2025: Sensex, Nifty close sharply lower on US tariff announcement; metal index worst affected","Sensex, Nifty, Share Prices: Equity markets plummeted on Friday with the benchmark indices shedding over 1 per cent as fears of a global trade war and recession concerns rattled investor sentiment following sweeping tariff announcements by US President Donald…",2025-04-04T01:07:54Z,BusinessLine,pharma,"Stock Market Highlights 4 April 2025: Sensex, Nifty close sharply lower on US tariff announcement; metal index worst affected. Sensex, Nifty, Share Prices: Equity markets plummeted on Friday with the benchmark indices shedding over 1 per cent as fears of a global trade war and recession concerns rattled investor sentiment following sweeping tariff announcements by US President Donald…",negative,0.9721411466598512,negative,-0.8689,negative,-1
